sales_document,document_type,sales_document_item,order_date,company_code,sales_organization,distribution_channel,sold_to_customer,material_id,order_priority,payment_terms,incoterms,order_quantity,net_unit_price,discount_pct
1765,OR,10,2024-03-10,2000,EU01,Retail,C004,MAT005,Medium,NET45,DAP,4,869.21,0.0
1766,OR,10,2024-03-22,2000,EU01,Partner,C003,MAT005,Medium,NET45,DAP,10,1702.42,0.1
1767,OR,10,2024-04-05,2000,DE01,Partner,C003,MAT006,High,COD,FCA,1,474.02,0.05
1768,ZOR,10,2023-12-01,1000,EU01,Inside Sales,C006,MAT001,High,COD,EXW,9,958.15,0.0
1769,OR,10,2023-12-15,2000,DE01,Partner,C005,MAT007,Critical,COD,DAP,8,1074.66,0.1
1770,OR,10,2023-01-17,2000,EU02,Online,C007,MAT001,Low,PREPAID,FCA,8,1637.95,0.0
1771,OR,10,2023-09-24,2000,EU01,Inside Sales,C006,MAT007,Critical,PREPAID,EXW,11,632.82,0.1
1772,ZOR,10,2023-01-21,2000,EU02,Partner,C005,MAT003,Medium,PREPAID,FCA,4,1746.44,0.0
1773,OR,10,2024-08-12,2000,EU01,Online,C006,MAT007,Critical,NET45,DAP,6,583.68,0.0
1774,OR,10,2023-07-02,2000,EU02,Retail,C006,MAT008,Low,PREPAID,EXW,3,618.22,0.2
1775,ZOR,10,2023-11-28,1000,EU01,Partner,C009,MAT002,Critical,NET45,FCA,11,542.48,0.0
1776,OR,10,2023-02-23,2000,EU02,Partner,C004,MAT001,Low,NET30,EXW,3,810.32,0.1
1777,OR,10,2023-03-28,2000,EU02,Partner,C003,MAT008,Critical,PREPAID,FCA,7,1374.61,0.0
1778,OR,10,2024-02-29,1000,EU02,Inside Sales,C004,MAT005,High,PREPAID,EXW,11,1085.41,0.05
1779,OR,10,2023-09-08,1000,EU02,Retail,C004,MAT004,High,COD,FCA,7,191.69,0.15
1780,ZOR,10,2023-08-14,2000,EU01,Partner,C008,MAT008,Critical,NET45,FCA,7,1606.19,0.05
1781,OR,10,2024-07-05,2000,EU01,Partner,C008,MAT006,High,PREPAID,FCA,4,1695.77,0.2
1782,OR,10,2023-05-22,2000,EU02,Inside Sales,C005,MAT001,Medium,COD,DAP,8,776.11,0.05
1783,ZOR,10,2023-06-03,2000,EU01,Partner,C002,MAT005,Critical,PREPAID,EXW,5,190.79,0.0
1784,OR,10,2023-08-01,1000,EU02,Online,C010,MAT005,Low,COD,DAP,7,665.23,0.1
1785,ZOR,10,2023-10-25,1000,EU02,Partner,C007,MAT006,Medium,PREPAID,EXW,4,1561.58,0.0
1786,OR,10,2024-10-08,2000,EU01,Online,C010,MAT002,Low,NET30,FCA,4,1473.36,0.1
1787,ZOR,10,2023-03-21,2000,DE01,Online,C009,MAT002,High,NET45,FCA,8,1425.04,0.0
1788,ZOR,10,2023-11-16,2000,EU01,Online,C009,MAT007,Critical,NET30,DAP,12,849.65,0.1
1789,OR,10,2024-10-28,1000,EU02,Partner,C003,MAT006,Critical,PREPAID,FCA,10,696.75,0.1
1790,OR,10,2023-10-10,1000,DE01,Retail,C010,MAT003,Critical,COD,DAP,1,591.94,0.2
1791,OR,10,2024-09-30,1000,DE01,Partner,C001,MAT006,Low,NET45,EXW,9,720.79,0.0
1792,OR,10,2024-04-06,1000,EU01,Inside Sales,C009,MAT006,Medium,PREPAID,DAP,5,1561.27,0.2
1793,ZOR,10,2023-12-02,1000,DE01,Retail,C004,MAT008,Medium,PREPAID,EXW,9,1651.35,0.15
1794,ZOR,10,2023-11-14,2000,DE01,Retail,C002,MAT004,High,NET30,FCA,11,366.64,0.0
1795,ZOR,10,2023-07-20,2000,EU02,Online,C006,MAT004,High,NET45,FCA,2,898.01,0.1
1796,ZOR,10,2024-09-26,1000,DE01,Inside Sales,C006,MAT006,Low,COD,DAP,6,1372.69,0.0
1797,ZOR,10,2023-04-10,1000,EU02,Online,C001,MAT004,Low,PREPAID,DAP,4,492.34,0.15
1798,ZOR,10,2023-06-10,2000,EU02,Retail,C001,MAT002,Medium,NET30,FCA,6,308.11,0.0
1799,OR,10,2023-10-30,1000,DE01,Online,C006,MAT006,High,NET45,EXW,2,601.08,0.0
1800,ZOR,10,2023-10-31,2000,EU02,Online,C002,MAT001,Critical,PREPAID,FCA,9,569.93,0.2
1801,OR,10,2024-02-21,2000,EU01,Partner,C002,MAT003,Low,NET45,DAP,10,1548.82,0.1
1802,ZOR,10,2023-02-26,1000,EU02,Online,C001,MAT007,Low,COD,FCA,7,1252.89,0.0
1803,OR,10,2024-06-23,2000,DE01,Online,C007,MAT003,Critical,NET45,EXW,11,182.76,0.2
1804,ZOR,10,2024-02-16,2000,DE01,Online,C009,MAT004,High,COD,FCA,12,187.41,0.0
1805,ZOR,10,2023-08-24,2000,DE01,Retail,C009,MAT008,Low,NET45,EXW,3,88.84,0.15
1806,ZOR,10,2024-07-26,1000,EU01,Retail,C009,MAT008,Low,NET45,FCA,6,190.98,0.0
1807,OR,10,2023-12-06,2000,DE01,Inside Sales,C001,MAT005,Low,NET45,EXW,5,57.58,0.2
1808,ZOR,10,2023-09-27,2000,DE01,Online,C005,MAT002,High,COD,DAP,12,493.17,0.0
1809,ZOR,10,2024-10-04,1000,DE01,Inside Sales,C009,MAT008,Critical,PREPAID,DAP,12,1769.18,0.1
1810,OR,10,2023-07-30,2000,EU02,Retail,C003,MAT001,Low,NET30,FCA,4,1016.36,0.0
1811,OR,10,2023-10-11,1000,DE01,Online,C004,MAT006,Low,PREPAID,FCA,10,1442.83,0.2
1812,ZOR,10,2024-07-27,2000,DE01,Online,C005,MAT008,Low,PREPAID,EXW,5,812.48,0.1
1813,ZOR,10,2023-04-06,1000,EU02,Online,C010,MAT006,Medium,NET45,FCA,12,730.13,0.0
1814,ZOR,10,2024-06-13,2000,EU01,Retail,C010,MAT003,High,NET45,EXW,9,1634.5,0.15
1815,OR,10,2024-06-23,1000,EU01,Retail,C001,MAT007,High,COD,FCA,12,561.02,0.2
1816,OR,10,2024-10-16,2000,EU01,Partner,C009,MAT004,Critical,PREPAID,FCA,5,1049.05,0.2
1817,OR,10,2023-05-31,2000,EU02,Retail,C002,MAT008,High,PREPAID,FCA,12,617.01,0.15
1818,ZOR,10,2024-09-29,2000,EU01,Online,C002,MAT005,Critical,NET45,DAP,8,605.5,0.0
1819,ZOR,10,2024-09-23,2000,EU01,Retail,C005,MAT007,High,PREPAID,EXW,6,1409.32,0.05
1820,ZOR,10,2024-02-17,1000,EU02,Online,C001,MAT004,High,NET45,EXW,2,733.94,0.0
1821,OR,10,2023-12-02,1000,EU01,Retail,C003,MAT005,Medium,PREPAID,FCA,10,330.45,0.05
1822,ZOR,10,2024-08-04,1000,DE01,Online,C005,MAT001,Medium,NET45,DAP,9,43.84,0.2
1823,ZOR,10,2023-09-05,2000,EU02,Inside Sales,C002,MAT006,High,PREPAID,DAP,7,1589.53,0.0
1824,ZOR,10,2024-02-07,2000,EU01,Inside Sales,C003,MAT008,Medium,NET30,FCA,6,1357.67,0.05
1825,OR,10,2024-08-10,1000,EU02,Partner,C007,MAT008,Medium,PREPAID,FCA,1,336.31,0.0
1826,OR,10,2024-10-26,1000,EU02,Inside Sales,C008,MAT006,High,NET45,EXW,3,716.78,0.05
1827,ZOR,10,2024-01-15,2000,EU01,Inside Sales,C001,MAT008,Low,COD,DAP,2,1211.03,0.1
1828,ZOR,10,2024-09-13,2000,EU01,Partner,C002,MAT003,High,PREPAID,EXW,5,1101.09,0.0
1829,ZOR,10,2023-04-13,1000,EU02,Retail,C009,MAT006,Critical,PREPAID,DAP,8,801.67,0.05
1830,ZOR,10,2024-05-07,2000,EU01,Partner,C004,MAT005,Medium,COD,FCA,8,1195.03,0.0
1831,OR,10,2023-06-28,2000,EU02,Online,C008,MAT007,Medium,PREPAID,EXW,6,406.55,0.1
1832,OR,10,2023-02-22,1000,EU01,Partner,C008,MAT008,Medium,PREPAID,FCA,5,459.29,0.0
1833,OR,10,2024-07-03,1000,EU01,Partner,C008,MAT006,Critical,PREPAID,EXW,4,639.7,0.15
1834,ZOR,10,2023-11-13,2000,EU02,Partner,C008,MAT004,High,NET45,EXW,3,981.76,0.0
1835,ZOR,10,2024-11-21,2000,EU01,Partner,C009,MAT002,Critical,COD,EXW,3,1424.79,0.1
1836,ZOR,10,2023-05-01,1000,DE01,Retail,C005,MAT008,Low,PREPAID,EXW,8,214.61,0.05
1837,ZOR,10,2023-04-09,2000,EU02,Retail,C005,MAT002,High,PREPAID,FCA,6,1790.63,0.1
1838,ZOR,10,2023-10-18,1000,DE01,Inside Sales,C001,MAT004,Critical,NET30,EXW,2,847.11,0.1
1839,ZOR,10,2023-02-10,1000,EU01,Inside Sales,C010,MAT005,Low,COD,FCA,7,1271.79,0.0
1840,ZOR,10,2024-11-27,1000,DE01,Partner,C010,MAT004,Critical,COD,DAP,11,476.23,0.0
1841,ZOR,10,2024-01-12,1000,EU01,Online,C008,MAT003,Medium,NET45,DAP,2,1741.82,0.0
1842,OR,10,2024-09-18,2000,DE01,Online,C010,MAT008,High,NET45,DAP,11,581.72,0.1
1843,ZOR,10,2024-11-19,2000,EU02,Inside Sales,C008,MAT002,High,NET30,EXW,12,1389.89,0.15
1844,ZOR,10,2024-04-12,2000,EU01,Retail,C007,MAT001,Medium,PREPAID,EXW,11,767.62,0.15
1845,OR,10,2024-12-25,2000,EU01,Online,C002,MAT003,Medium,NET45,EXW,2,500.7,0.15
1846,OR,10,2024-01-22,2000,EU02,Retail,C006,MAT005,Critical,PREPAID,DAP,5,1145.5,0.0
1847,ZOR,10,2023-08-08,2000,EU01,Partner,C002,MAT002,Low,PREPAID,EXW,4,709.31,0.05
1848,OR,10,2024-12-04,1000,DE01,Online,C010,MAT004,Critical,COD,FCA,5,1412.27,0.1
1849,OR,10,2023-09-24,1000,DE01,Online,C005,MAT004,Medium,NET45,DAP,5,1755.48,0.0
1850,ZOR,10,2023-06-23,1000,DE01,Online,C009,MAT008,Critical,PREPAID,DAP,8,116.56,0.1
1851,ZOR,10,2024-11-11,1000,EU02,Retail,C008,MAT007,Medium,PREPAID,EXW,8,778.18,0.05
1852,OR,10,2024-03-02,2000,DE01,Online,C005,MAT007,Low,PREPAID,EXW,9,723.23,0.1
1853,ZOR,10,2024-11-18,2000,EU02,Partner,C007,MAT005,Critical,COD,DAP,2,1074.27,0.0
1854,OR,10,2024-12-02,2000,EU01,Online,C010,MAT008,Low,NET45,DAP,3,628.56,0.15
1855,OR,10,2024-04-06,1000,EU02,Partner,C009,MAT002,Medium,COD,FCA,3,1057.95,0.05
1856,ZOR,10,2023-06-29,1000,DE01,Retail,C007,MAT003,High,NET45,DAP,1,283.15,0.0
1857,ZOR,10,2023-01-26,2000,EU02,Online,C003,MAT004,Medium,PREPAID,FCA,4,1369.35,0.2
1858,OR,10,2024-09-28,2000,EU01,Inside Sales,C004,MAT006,Low,COD,DAP,6,1655.76,0.05
1859,OR,10,2024-12-23,1000,DE01,Online,C005,MAT001,Low,NET45,FCA,4,369.29,0.1
1860,OR,10,2024-10-12,1000,EU01,Inside Sales,C002,MAT008,Critical,NET30,DAP,12,82.35,0.0
1861,ZOR,10,2024-04-07,1000,DE01,Partner,C007,MAT001,High,NET30,DAP,5,989.64,0.0
1862,OR,10,2024-08-27,1000,EU01,Inside Sales,C009,MAT005,Low,COD,DAP,8,855.35,0.15
1863,OR,10,2024-02-02,2000,EU01,Inside Sales,C004,MAT002,Critical,NET45,EXW,4,433.53,0.0
1864,ZOR,10,2024-04-07,2000,EU01,Online,C001,MAT005,High,NET30,FCA,5,1272.11,0.05
1865,ZOR,10,2024-07-08,2000,DE01,Partner,C005,MAT003,Critical,NET30,DAP,10,1410.73,0.1
1866,ZOR,10,2023-11-03,1000,DE01,Online,C001,MAT008,Critical,COD,DAP,8,674.03,0.15
1867,OR,10,2023-12-16,2000,DE01,Retail,C007,MAT004,High,PREPAID,DAP,11,78.65,0.0
1868,ZOR,10,2024-06-03,2000,EU02,Inside Sales,C001,MAT007,Critical,NET45,FCA,12,1558.02,0.0
1869,OR,10,2024-02-24,2000,EU01,Inside Sales,C008,MAT006,Critical,NET30,FCA,4,1040.17,0.2
1870,ZOR,10,2023-08-17,1000,EU02,Inside Sales,C002,MAT002,Low,COD,EXW,6,252.45,0.1
1871,ZOR,10,2023-07-11,1000,EU01,Retail,C003,MAT004,Medium,NET45,EXW,3,415.67,0.1
1872,ZOR,10,2024-01-24,1000,EU01,Partner,C004,MAT001,Critical,PREPAID,FCA,3,371.64,0.05
1873,OR,10,2023-05-24,1000,EU02,Partner,C004,MAT008,Low,NET30,DAP,5,482.97,0.2
1874,ZOR,10,2024-06-28,1000,DE01,Online,C010,MAT001,High,NET45,DAP,6,1734.85,0.0
1875,ZOR,10,2023-09-11,2000,DE01,Partner,C006,MAT001,Critical,COD,FCA,9,1160.26,0.05
1876,OR,10,2024-11-26,1000,EU02,Retail,C003,MAT002,Medium,NET30,DAP,1,1626.97,0.0
1877,ZOR,10,2024-07-27,1000,EU02,Retail,C009,MAT008,Critical,NET45,FCA,8,393.26,0.2
1878,ZOR,10,2023-06-11,2000,DE01,Online,C008,MAT007,High,PREPAID,EXW,7,49.72,0.0
1879,ZOR,10,2024-06-02,1000,DE01,Partner,C002,MAT001,Medium,COD,DAP,6,1243.63,0.0
1880,OR,10,2023-06-13,2000,EU01,Partner,C006,MAT005,Low,COD,DAP,9,914.48,0.0
1881,ZOR,10,2023-02-26,2000,DE01,Inside Sales,C006,MAT001,Low,PREPAID,EXW,7,1236.87,0.1
1882,OR,10,2023-06-24,2000,DE01,Inside Sales,C009,MAT006,High,NET45,EXW,1,1046.11,0.0
1883,ZOR,10,2023-09-01,1000,EU01,Online,C002,MAT005,High,COD,FCA,3,439.4,0.05
1884,OR,10,2024-11-10,2000,DE01,Online,C006,MAT001,Low,COD,DAP,10,1766.85,0.05
1885,ZOR,10,2024-09-24,1000,EU02,Retail,C001,MAT002,Medium,PREPAID,EXW,4,435.38,0.0
1886,ZOR,10,2023-10-03,2000,EU02,Retail,C010,MAT002,High,PREPAID,DAP,2,171.48,0.2
1887,ZOR,10,2024-03-30,1000,DE01,Inside Sales,C006,MAT008,High,NET30,DAP,3,562.78,0.2
1888,ZOR,10,2024-02-26,1000,EU01,Online,C009,MAT004,Low,NET45,DAP,11,1050.06,0.2
1889,ZOR,10,2023-08-30,2000,DE01,Partner,C005,MAT004,High,NET45,FCA,6,1552.77,0.1
1890,ZOR,10,2023-06-18,2000,DE01,Partner,C007,MAT005,Medium,NET30,EXW,10,1651.37,0.0
1891,ZOR,10,2024-10-24,1000,EU01,Inside Sales,C010,MAT007,Low,NET30,FCA,1,1036.86,0.0
1892,ZOR,10,2024-12-16,1000,EU01,Inside Sales,C003,MAT005,Medium,COD,DAP,12,1410.3,0.15
1893,OR,10,2023-09-25,1000,EU01,Retail,C001,MAT002,High,NET30,EXW,11,621.13,0.05
1894,OR,10,2023-04-27,1000,EU01,Partner,C002,MAT005,Critical,PREPAID,DAP,10,1746.45,0.0
1895,OR,10,2024-06-18,1000,DE01,Partner,C010,MAT005,Critical,PREPAID,EXW,3,1050.24,0.15
1896,ZOR,10,2024-09-23,2000,EU01,Online,C006,MAT004,Low,NET45,EXW,7,1392.55,0.0
1897,ZOR,10,2023-08-30,1000,DE01,Retail,C003,MAT001,Low,NET30,DAP,5,1521.88,0.05
1898,ZOR,10,2023-11-05,2000,DE01,Partner,C006,MAT005,Low,PREPAID,EXW,11,473.75,0.05
1899,ZOR,10,2023-05-28,2000,EU01,Partner,C010,MAT004,Medium,PREPAID,EXW,11,1049.11,0.1
1900,ZOR,10,2023-08-06,1000,EU02,Inside Sales,C009,MAT004,High,COD,EXW,4,1495.07,0.2
1901,ZOR,10,2023-09-10,1000,EU01,Partner,C004,MAT004,Low,NET45,EXW,7,582.55,0.2
1902,OR,10,2024-05-02,2000,DE01,Inside Sales,C003,MAT001,Medium,NET45,DAP,1,607.21,0.0
1903,ZOR,10,2023-09-12,1000,DE01,Inside Sales,C002,MAT006,High,PREPAID,FCA,8,130.56,0.1
1904,OR,10,2023-02-23,1000,EU02,Partner,C006,MAT007,High,NET30,EXW,10,1130.45,0.0
1905,OR,10,2023-11-25,2000,EU02,Online,C010,MAT002,Medium,PREPAID,EXW,6,1297.85,0.0
1906,OR,10,2024-09-17,2000,DE01,Partner,C008,MAT006,High,COD,EXW,7,797.91,0.0
1907,ZOR,10,2024-10-27,2000,DE01,Online,C007,MAT002,Critical,NET45,EXW,11,1216.87,0.1
1908,ZOR,10,2024-03-18,1000,DE01,Online,C008,MAT007,Low,PREPAID,EXW,5,306.53,0.0
1909,ZOR,10,2024-01-30,2000,EU01,Online,C005,MAT004,Medium,COD,EXW,9,109.19,0.2
1910,ZOR,10,2023-02-15,2000,EU02,Online,C001,MAT004,Medium,COD,FCA,9,918.98,0.0
1911,ZOR,10,2023-02-09,1000,EU01,Retail,C009,MAT002,Critical,COD,FCA,9,1330.26,0.0
1912,ZOR,10,2024-03-06,1000,EU02,Inside Sales,C006,MAT007,Medium,COD,DAP,3,959.87,0.0
1913,OR,10,2024-05-14,1000,EU02,Partner,C008,MAT003,Medium,COD,EXW,6,776.26,0.0
1914,OR,10,2024-12-30,1000,EU01,Inside Sales,C009,MAT006,Low,PREPAID,DAP,5,1107.35,0.0
1915,ZOR,10,2023-09-24,2000,EU02,Online,C007,MAT007,Critical,COD,DAP,2,1567.72,0.0
1916,ZOR,10,2024-03-11,2000,DE01,Partner,C010,MAT006,Critical,NET45,DAP,4,1669.62,0.0
1917,OR,10,2024-11-02,1000,DE01,Online,C003,MAT006,High,COD,DAP,4,459.0,0.05
1918,OR,10,2023-09-05,1000,EU01,Inside Sales,C009,MAT008,Low,NET45,DAP,2,690.13,0.1
1919,OR,10,2023-01-13,2000,EU02,Online,C003,MAT006,High,PREPAID,DAP,1,1196.7,0.0
1920,OR,10,2024-06-03,2000,EU01,Inside Sales,C004,MAT008,Medium,PREPAID,DAP,2,726.4,0.0
1921,OR,10,2024-06-22,1000,DE01,Online,C005,MAT004,High,NET45,FCA,5,1126.58,0.0
1922,ZOR,10,2023-10-12,2000,EU01,Partner,C007,MAT007,Medium,COD,FCA,4,669.03,0.1
1923,OR,10,2023-05-29,2000,EU01,Inside Sales,C001,MAT001,Medium,NET45,EXW,1,263.81,0.0
1924,OR,10,2024-04-24,1000,EU01,Online,C006,MAT001,High,NET30,FCA,11,327.99,0.2
1925,ZOR,10,2023-03-13,2000,DE01,Online,C003,MAT004,Medium,COD,FCA,9,553.76,0.0
1926,OR,10,2023-02-04,2000,DE01,Partner,C003,MAT008,Critical,PREPAID,FCA,5,569.35,0.0
1927,ZOR,10,2023-09-23,2000,DE01,Online,C004,MAT008,Medium,COD,EXW,5,682.74,0.0
1928,ZOR,10,2023-02-02,2000,EU02,Online,C005,MAT002,Medium,COD,EXW,7,185.5,0.0
1929,OR,10,2024-08-04,1000,EU02,Partner,C007,MAT003,High,COD,DAP,9,1009.65,0.2
1930,ZOR,10,2023-02-16,1000,EU01,Online,C004,MAT002,Low,NET30,FCA,11,217.8,0.0
1931,OR,10,2024-12-21,2000,EU02,Online,C008,MAT001,High,PREPAID,DAP,1,921.61,0.05
1932,ZOR,10,2023-10-09,2000,DE01,Partner,C009,MAT008,Medium,NET30,EXW,4,219.56,0.2
1933,OR,10,2023-11-19,1000,EU01,Partner,C008,MAT005,Low,COD,FCA,5,83.22,0.0
1934,OR,10,2024-09-25,1000,DE01,Online,C004,MAT007,High,NET30,EXW,11,748.98,0.0
1935,OR,10,2023-01-18,2000,EU01,Partner,C004,MAT002,Low,PREPAID,DAP,7,461.13,0.15
1936,ZOR,10,2024-06-30,2000,EU01,Online,C003,MAT006,Medium,COD,EXW,7,1678.25,0.0
1937,ZOR,10,2023-10-25,2000,EU02,Inside Sales,C010,MAT005,High,NET30,DAP,1,1620.29,0.0
1938,ZOR,10,2023-02-24,1000,DE01,Inside Sales,C008,MAT004,Critical,PREPAID,FCA,5,1086.09,0.2
1939,OR,10,2024-06-24,1000,EU01,Online,C010,MAT007,Low,NET30,DAP,10,76.7,0.0
1940,ZOR,10,2023-03-30,2000,EU01,Partner,C004,MAT004,Medium,PREPAID,FCA,10,1324.18,0.15
1941,ZOR,10,2023-08-23,1000,DE01,Retail,C006,MAT004,Low,NET30,DAP,10,1261.2,0.1
1942,ZOR,10,2024-10-03,1000,EU02,Inside Sales,C002,MAT008,Critical,NET45,EXW,8,417.04,0.1
1943,ZOR,10,2023-06-08,1000,DE01,Partner,C009,MAT007,High,NET45,FCA,3,1563.06,0.15
1944,ZOR,10,2024-11-10,1000,DE01,Partner,C010,MAT004,Low,COD,FCA,7,812.16,0.0
1945,ZOR,10,2024-01-08,1000,EU01,Inside Sales,C010,MAT003,Low,NET30,DAP,3,633.34,0.05
1946,ZOR,10,2024-09-19,2000,EU01,Partner,C007,MAT004,Critical,NET30,EXW,5,1204.53,0.15
1947,OR,10,2024-05-12,1000,EU01,Retail,C008,MAT002,Critical,COD,FCA,10,1738.01,0.0
1948,ZOR,10,2024-10-26,1000,EU02,Retail,C007,MAT001,Low,NET30,FCA,2,1418.36,0.2
1949,ZOR,10,2023-02-26,2000,DE01,Inside Sales,C002,MAT008,Medium,PREPAID,DAP,12,1135.45,0.1
1950,OR,10,2023-08-25,1000,EU02,Retail,C009,MAT005,Critical,NET30,FCA,11,1711.95,0.15
1951,OR,10,2023-05-11,1000,DE01,Partner,C005,MAT002,Critical,COD,FCA,4,1143.65,0.05
1952,OR,10,2024-03-05,1000,DE01,Retail,C003,MAT001,Critical,NET45,EXW,9,1318.57,0.05
1953,OR,10,2024-01-29,1000,DE01,Retail,C007,MAT005,Low,COD,FCA,4,782.58,0.0
1954,ZOR,10,2024-08-28,2000,EU01,Partner,C001,MAT004,Medium,NET45,FCA,11,154.53,0.1
1955,OR,10,2023-07-03,1000,EU02,Inside Sales,C008,MAT002,Medium,COD,FCA,4,848.83,0.0
1956,OR,10,2023-11-25,2000,DE01,Inside Sales,C005,MAT005,High,PREPAID,EXW,12,1146.59,0.2
1957,OR,10,2024-03-21,1000,EU01,Retail,C004,MAT001,Critical,PREPAID,EXW,10,1283.79,0.0
1958,ZOR,10,2024-05-05,2000,EU02,Partner,C010,MAT001,Critical,NET45,DAP,9,880.27,0.1
1959,OR,10,2024-08-13,1000,EU02,Partner,C007,MAT004,Critical,NET45,EXW,7,350.19,0.15
1960,OR,10,2023-01-24,1000,EU01,Partner,C002,MAT001,Medium,PREPAID,DAP,11,1127.94,0.1
1961,ZOR,10,2024-04-11,2000,EU02,Partner,C006,MAT002,Medium,PREPAID,FCA,8,510.55,0.0
1962,ZOR,10,2024-11-22,2000,DE01,Retail,C009,MAT007,Medium,PREPAID,DAP,11,852.22,0.05
1963,OR,10,2024-01-09,1000,DE01,Online,C001,MAT001,High,COD,EXW,1,1346.6,0.1
1964,OR,10,2023-06-20,2000,DE01,Retail,C002,MAT001,Critical,NET45,EXW,3,1158.73,0.0
1965,OR,10,2023-10-25,1000,DE01,Inside Sales,C003,MAT001,Low,COD,EXW,9,555.55,0.1
1966,OR,10,2023-03-13,2000,EU02,Inside Sales,C004,MAT007,High,NET30,EXW,10,1325.87,0.0
1967,OR,10,2024-12-01,2000,DE01,Online,C009,MAT002,High,PREPAID,FCA,3,262.37,0.0
1968,ZOR,10,2023-01-14,1000,EU01,Retail,C003,MAT004,High,NET30,EXW,12,1189.65,0.0
1969,OR,10,2024-11-16,2000,DE01,Inside Sales,C006,MAT004,Low,COD,FCA,3,1534.23,0.1
1970,OR,10,2024-03-01,1000,EU01,Inside Sales,C010,MAT007,Critical,PREPAID,EXW,4,399.19,0.0
1971,OR,10,2023-09-16,2000,DE01,Inside Sales,C007,MAT005,Critical,NET30,EXW,11,999.74,0.0
1972,ZOR,10,2023-01-29,1000,EU01,Inside Sales,C005,MAT003,Critical,NET45,FCA,1,1069.91,0.0
1973,OR,10,2023-01-07,2000,EU02,Inside Sales,C002,MAT004,Low,PREPAID,EXW,12,619.95,0.0
1974,OR,10,2023-06-16,2000,EU02,Retail,C008,MAT008,High,NET45,DAP,5,1341.4,0.15
1975,ZOR,10,2024-02-19,1000,EU02,Partner,C001,MAT002,Low,NET30,DAP,3,1477.13,0.0
1976,ZOR,10,2023-07-05,1000,EU01,Online,C004,MAT002,Critical,PREPAID,FCA,10,67.97,0.0
1977,ZOR,10,2024-06-30,1000,EU02,Inside Sales,C002,MAT005,Medium,NET45,FCA,4,684.48,0.15
1978,OR,10,2024-11-07,1000,EU01,Partner,C010,MAT007,Critical,PREPAID,DAP,8,1093.27,0.2
1979,OR,10,2023-07-12,1000,EU02,Partner,C006,MAT008,Critical,NET45,DAP,5,608.87,0.2
1980,ZOR,10,2024-02-03,2000,DE01,Online,C006,MAT003,Medium,NET30,EXW,4,703.79,0.1
1981,ZOR,10,2023-01-08,2000,EU01,Online,C003,MAT004,Low,COD,DAP,7,1627.92,0.15
1982,OR,10,2024-08-08,2000,DE01,Partner,C007,MAT001,Medium,NET45,FCA,11,892.35,0.1
1983,ZOR,10,2023-05-30,1000,EU02,Partner,C004,MAT008,Critical,NET45,EXW,12,1640.03,0.1
1984,ZOR,10,2024-04-26,2000,EU02,Partner,C005,MAT006,Critical,PREPAID,DAP,5,229.71,0.0
1985,OR,10,2023-06-24,2000,EU02,Partner,C005,MAT004,High,COD,DAP,10,227.61,0.05
1986,OR,10,2023-09-13,2000,EU02,Online,C008,MAT007,High,PREPAID,DAP,9,1369.92,0.15
1987,ZOR,10,2024-11-12,2000,EU02,Partner,C004,MAT005,Low,COD,FCA,4,135.23,0.05
1988,ZOR,10,2024-12-04,2000,DE01,Retail,C006,MAT001,Low,COD,FCA,9,419.61,0.1
1989,ZOR,10,2023-07-22,1000,DE01,Retail,C007,MAT006,Medium,PREPAID,FCA,1,1320.0,0.0
1990,OR,10,2024-02-07,1000,EU01,Retail,C006,MAT006,Low,PREPAID,FCA,8,310.12,0.1
1991,OR,10,2023-05-24,2000,EU01,Inside Sales,C002,MAT005,Critical,PREPAID,EXW,10,463.94,0.0
1992,OR,10,2024-12-12,1000,DE01,Online,C007,MAT002,Critical,PREPAID,EXW,4,772.94,0.0
1993,ZOR,10,2023-10-08,1000,DE01,Online,C009,MAT004,Low,NET45,DAP,11,1327.72,0.2
1994,ZOR,10,2023-01-31,1000,DE01,Retail,C003,MAT004,Low,PREPAID,DAP,5,535.0,0.1
1995,ZOR,10,2024-11-18,2000,EU01,Partner,C006,MAT006,Low,NET45,DAP,4,1280.55,0.05
1996,OR,10,2024-05-13,1000,EU02,Retail,C008,MAT007,Medium,NET30,DAP,11,1488.44,0.0
1997,ZOR,10,2024-12-11,2000,EU02,Retail,C007,MAT001,Medium,NET45,EXW,1,1030.87,0.0
1998,ZOR,10,2024-02-15,1000,EU01,Inside Sales,C001,MAT002,High,NET30,EXW,1,133.52,0.1
1999,ZOR,10,2024-09-18,2000,EU02,Inside Sales,C003,MAT002,Critical,NET45,FCA,2,1007.93,0.0
2000,OR,10,2023-08-25,2000,EU02,Retail,C002,MAT001,High,NET45,EXW,8,185.1,0.0
2001,OR,10,2024-07-26,1000,EU02,Inside Sales,C008,MAT005,Medium,COD,EXW,6,539.92,0.1
2002,OR,10,2024-07-08,1000,DE01,Inside Sales,C004,MAT003,Medium,NET30,EXW,3,778.75,0.1
2003,ZOR,10,2023-09-22,2000,EU02,Partner,C003,MAT005,Critical,COD,EXW,10,770.93,0.15
2004,OR,10,2023-09-29,2000,EU01,Retail,C006,MAT008,Medium,COD,FCA,8,1261.46,0.05
2005,ZOR,10,2023-09-25,1000,EU02,Partner,C007,MAT006,Critical,COD,DAP,1,1789.42,0.0
